,AcresBurned,ArchiveYear,CrewsInvolved,Dozers,Engines,Fatalities,Featured,Final,Helicopters,Injuries,Latitude,Longitude,MajorIncident,Name,PersonnelInvolved,Started,UniqueId,Updated,Duration
80,124.0,2013,,,,,False,True,,,33.963591,-117.18793400000001,False,Smiley Fire,,2013-05-25 14:59:00+00:00,9795afee-7e60-4ab3-b5c3-7df67f91c5f9,2013-05-25 23:00:00+00:00,8.016666666666667
81,120.0,2013,10.0,6.0,30.0,,False,True,,,38.882214000000005,-122.567525,True,Cantwell Fire,285.0,2013-11-08 13:42:00+00:00,20ba8b6b-78d4-46a7-995b-d8fa38cbf3b8,2013-11-10 18:30:00+00:00,52.8
82,116.0,2013,,,,,False,True,,,38.682378,-120.839075,True,Union Fire,,2013-08-16 13:55:00+00:00,db009f8f-8b9d-44bb-a3f6-83f319c84d72,2013-08-16 17:55:00+00:00,4.0
83,110.0,2013,,,,,False,True,,,34.287,-117.45100000000001,False,Cleghorn Fire,,2013-08-17 17:25:00+00:00,c7f05927-66a4-403c-9048-aeb42eca0211,2013-08-18 20:55:00+00:00,27.5
84,108.0,2013,,,,,False,True,,,36.772425,-119.62838899999998,False,Clinton Fire,,2013-06-13 11:54:00+00:00,a2cfda2a-21c1-4e45-90b5-37d931b4a926,2013-06-13 21:30:00+00:00,9.6
85,105.0,2013,,,,,False,True,,,36.1531,-120.8973,False,Freeman Fire,,2013-06-29 14:09:00+00:00,58317b8d-7f4d-466f-b2c7-035c25fb00f0,2013-06-29 18:30:00+00:00,4.35
87,100.0,2013,,,,,False,True,,,37.91529,-120.33313000000001,False,Murphy Fire,,2013-06-02 13:30:00+00:00,98bfbb7c-8446-4e2e-a268-7e961353723c,2013-06-02 16:55:00+00:00,3.4166666666666665
88,100.0,2013,,,,,False,True,,,32.564465000000006,-116.900368,False,Border Fire,,2013-05-22 16:14:00+00:00,e077e091-f890-477c-b948-eb23774b432e,2013-05-23 08:30:00+00:00,16.266666666666666
89,98.0,2013,,,,,False,True,,,38.9252,-122.96600000000001,False,Highland Fire,,2013-09-28 13:57:00+00:00,b20a2031-12c9-4e9c-9f44-ac82c26e6c66,2013-09-29 18:15:00+00:00,28.3
90,97.0,2013,,,,,False,True,,,41.73325,-120.375,False,Davis Creek Complex,,2013-09-05 15:57:00+00:00,308ce8d5-67c8-4edb-9e2f-bf6295f98d7e,2013-09-24 20:15:00+00:00,460.3
91,97.0,2013,,,,,False,True,,,33.641999999999996,-116.706,False,Little Fire,,2013-08-24 15:09:00+00:00,b5109726-5e91-4c10-96f8-2a5bb72e5a59,2013-08-30 08:00:00+00:00,136.85
92,97.0,2013,,,,,False,True,,,40.88886,-120.95812600000001,False,Coyote Fire,,2013-08-09 15:51:00+00:00,2b84c8a2-e2e8-45a2-9221-e8075608c218,2013-08-12 09:30:00+00:00,65.65
93,96.0,2013,,,,,False,True,,,38.27783,-120.966016,False,Roadrunner Fire,,2013-06-12 16:43:00+00:00,bf59bc5b-1398-4ae5-adef-6f61b9ee1b90,2013-06-13 09:45:00+00:00,17.033333333333335
94,94.0,2013,,,,,False,True,,,35.4393,-120.8358,False,Creek Fire,,2013-09-24 03:20:00+00:00,ac469123-da14-4821-b824-c6cf66138514,2013-09-24 17:30:00+00:00,14.166666666666666
95,92.0,2013,4.0,,4.0,,False,True,,2.0,39.6612,-121.50353999999999,True,Branch Fire,80.0,2013-08-01 16:01:00+00:00,0b51d3d5-bb3a-426d-9c12-c1878a01d7cf,2013-08-04 14:45:00+00:00,70.73333333333333
96,91.0,2013,6.0,2.0,24.0,,False,True,2.0,,37.1927,-119.7917,True,Lilly 2 Fire,,2013-05-19 15:07:00+00:00,2b765a08-c770-4b19-baa8-00dffe3fa838,2013-05-20 19:10:00+00:00,28.05
97,90.0,2013,,,,,False,True,,,33.9582,-116.6534,False,Water Fire,,2013-05-21 14:16:00+00:00,13850faa-5bab-4fd7-bac3-433ce9250c4d,2013-05-21 19:30:00+00:00,5.233333333333333
98,85.0,2013,,,,,False,True,,,35.62743,-120.83417,False,Adelaida Fire,,2013-07-07 13:16:00+00:00,a97d2b3a-3a53-424f-852c-5f1b8d199cc3,2013-07-07 22:00:00+00:00,8.733333333333333
99,82.0,2013,,,,,False,True,,,39.0442,-123.1478,False,Retek Fire,,2013-11-22 10:06:00+00:00,e9e43213-b2fc-47bc-92cd-117ccd6e4780,2013-11-22 17:30:00+00:00,7.4
100,80.0,2013,2.0,,10.0,,False,True,,1.0,39.731878,-121.71393799999998,True,Centerville Fire,35.0,2013-08-31 17:23:00+00:00,dd374f36-e7cb-4a48-91ee-e8be101e0f88,2013-09-01 18:00:00+00:00,24.616666666666667
